"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-2560478490684148a5f9344fdded44e3","AccessRelationship","","","id-f2e451fc1a5040418d5ce92a8baa0d16","id-ab375f1a7ba0476dbe2094bb119ad2e5",""
"id-30aa3d8c9a924cf7bc535fa432500711","AccessRelationship","","","id-136c6e495f7944fe9d174e8e99401ca1","id-57aabc37640641ed978372ba1a0e9d73",""
"id-aafc90cedb0f4114afa098aa18ef7a0c","AccessRelationship","","","id-87df041b085a403e948d63e82b6dc556","id-07f6a1ba20284089a07feedb889ebf0a",""
"id-0d0badf37fe0493e8b220123e310731e","AccessRelationship","","","id-f2e451fc1a5040418d5ce92a8baa0d16","id-18dd7ab2be8d4c54a94a9fc3ae39223b",""
"id-50fc1bba8eec44b2a8cb849db5fa8876","AccessRelationship","","","id-136c6e495f7944fe9d174e8e99401ca1","id-18dd7ab2be8d4c54a94a9fc3ae39223b",""
"id-40d08f98b7f74c6caba4b494d0c800c9","AccessRelationship","","","id-87df041b085a403e948d63e82b6dc556","id-18dd7ab2be8d4c54a94a9fc3ae39223b",""
"id-a2a1cfa055a347dfaf5642548e47914a","AccessRelationship","","","id-8b98e9a157c845acb0fb8f0049826222","id-3f93e67e61e5441f900e03e6c37d4af3",""
"id-fc69177c32514d4ea9e8114c2fbc507b","AccessRelationship","","","id-8b98e9a157c845acb0fb8f0049826222","id-18dd7ab2be8d4c54a94a9fc3ae39223b",""
"id-745229c2f1ac44f59529fa5b2fde8645","AccessRelationship","","","id-5e398e49cb0a4fbd889849a7e7c272c6","id-05b984b42a2341f9b9ef629cbcfba788",""
"id-66e8415969974ed3868bfcca0c662a33","AccessRelationship","","","id-3431625e8daa424b9f089c21d4ea6049","id-05b984b42a2341f9b9ef629cbcfba788",""
"id-047cd40921784aaf8354805ee6db4172","AccessRelationship","","","id-8d6586a812d04fa9aa1e0e646e1fd239","id-05b984b42a2341f9b9ef629cbcfba788",""
"id-f28d32ec689444a1b061d9ae82bf1f3c","AccessRelationship","","","id-5e398e49cb0a4fbd889849a7e7c272c6","id-18dd7ab2be8d4c54a94a9fc3ae39223b",""
"id-69a9bafdd3bd4725864f3f8c0b37ad51","AccessRelationship","","","id-8d6586a812d04fa9aa1e0e646e1fd239","id-18dd7ab2be8d4c54a94a9fc3ae39223b",""
"id-25e18402e7224fc4aec506a4bcc1bb8a","AccessRelationship","","","id-3431625e8daa424b9f089c21d4ea6049","id-18dd7ab2be8d4c54a94a9fc3ae39223b",""
"id-ebd95beafa604bd48910b9ac3c8cad4e","AggregationRelationship","","","id-8e14f139525542bba359e6a616155c2d","id-993d7651ca474aecb5dcec2b1f3f12c2",""
"id-d7e218de9c874511ba3290304997e6d2","AggregationRelationship","","","id-630e4b7e9d314e3998628d79704ec863","id-9901256f206d4cba8c9a2204a0ea60bd",""
"id-ba8cd750287e416a9480d1a0e41c9948","AggregationRelationship","","","id-e476f1042d744a579f68152ae06aedf0","id-b7574a7b092d46198ea3e5d46cdf334f",""
